session_id,date,day,start_hour,duration_min,interruptions,meeting_overlap,caffeine,focus,energy,tasks_completed,bugs_introduced,productivity
S213,2026-07-06,Monday,9,86,3,0,1.0,7.0,8.0,6,0,81.1
S249,2026-07-06,Monday,9,90,1,0,1.0,8.0,7.0,7,0,100.0
S135,2026-07-06,Monday,10,104,2,1,1.0,7.0,9.0,7,0,98.8
S106,2026-07-06,Monday,13,103,2,1,0.0,7.0,8.0,8,0,65.7
S261,2026-07-06,Monday,14,106,1,0,0.0,7.0,5.0,8,1,74.8
S071,2026-07-07,Tuesday,9,51,2,0,0.0,8.0,7.0,5,1,67.0
S105,2026-07-07,Tuesday,17,89,1,0,0.0,7.0,7.0,6,0,69.6
S092,2026-07-08,Wednesday,9,78,0,0,1.0,9.0,7.0,6,0,96.2
S336,2026-07-08,Wednesday,10,101,0,1,1.0,6.0,9.0,6,1,80.1
S227,2026-07-08,Wednesday,11,97,1,0,1.0,7.0,8.0,8,1,100.0
S103,2026-07-08,Wednesday,14,71,2,0,1.0,8.0,8.0,7,0,79.4
S291,2026-07-08,Wednesday,15,66,5,0,0.0,7.0,7.0,4,0,57.8
S166,2026-07-09,Thursday,12,53,1,0,1.0,5.0,,3,0,81.3
S028,2026-07-10,Friday,14,61,3,0,1.0,6.0,5.0,4,1,60.2
S149,2026-07-10,Friday,14,107,5,0,0.0,6.0,6.0,6,1,59.2
S038,2026-07-10,Friday,16,57,2,0,0.0,5.0,8.0,5,0,74.3
S302,2026-07-10,Friday,17,73,3,0,0.0,7.0,8.0,4,0,61.0
S090,2026-07-11,Saturday,9,53,5,0,1.0,6.0,7.0,4,3,45.7
S084,2026-07-11,Saturday,11,52,0,0,1.0,7.0,6.0,5,0,87.8
S388,2026-07-11,Saturday,11,88,1,0,1.0,6.0,6.0,7,1,85.3
S334,2026-07-11,Saturday,15,58,3,1,0.0,5.0,6.0,4,2,53.6
S101,2026-07-11,Saturday,16,84,3,0,0.0,10.0,6.0,6,0,78.4
S019,2026-07-12,Sunday,18,66,1,0,0.0,7.0,6.0,5,0,81.6
S093,2026-07-12,Sunday,18,20,0,0,0.0,6.0,7.0,4,1,70.8
S361,2026-07-13,Monday,9,87,1,0,1.0,8.0,5.0,7,0,96.2
S297,2026-07-13,Monday,12,76,3,1,1.0,8.0,8.0,7,0,94.1
S006,2026-07-14,Tuesday,11,83,0,0,1.0,7.0,8.0,9,1,97.8
S037,2026-07-14,Tuesday,13,85,4,0,0.0,4.0,8.0,5,2,47.3
S151,2026-07-14,Tuesday,14,92,4,0,1.0,6.0,7.0,8,1,68.8
S146,2026-07-14,Tuesday,16,25,2,0,0.0,6.0,6.0,3,1,59.4
S232,2026-07-14,Tuesday,16,68,2,0,,10.0,7.0,7,0,82.9
S125,2026-07-14,Tuesday,17,70,0,0,1.0,8.0,5.0,7,2,90.2
S396,2026-07-16,Thursday,11,94,2,1,1.0,8.0,7.0,8,0,92.4
S389,2026-07-18,Saturday,10,59,3,1,1.0,7.0,8.0,6,0,74.4
S362,2026-07-18,Saturday,11,110,2,0,0.0,10.0,7.0,8,0,100.0
S048,2026-07-18,Saturday,12,85,2,0,1.0,4.0,9.0,7,1,72.4
S358,2026-07-18,Saturday,13,82,3,0,0.0,7.0,6.0,4,0,64.7
S375,2026-07-18,Saturday,17,85,2,0,1.0,7.0,6.0,5,0,76.3
S035,2026-07-18,Saturday,18,80,1,0,1.0,8.0,7.0,9,0,92.0
S179,2026-07-19,Sunday,12,100,3,0,1.0,7.0,7.0,8,1,76.6
S304,2026-07-19,Sunday,13,80,2,1,0.0,8.0,7.0,7,0,80.5
S364,2026-07-19,Sunday,15,80,4,0,1.0,5.0,5.0,3,1,53.2
S095,2026-07-19,Sunday,17,81,2,0,0.0,5.0,8.0,3,1,58.7
S345,2026-07-20,Monday,10,70,1,0,1.0,6.0,6.0,5,1,83.4
S067,2026-07-20,Monday,11,93,4,0,0.0,7.0,6.0,5,1,74.8
S202,2026-07-20,Monday,18,76,1,1,0.0,7.0,6.0,7,1,77.2
S220,2026-07-20,Monday,18,97,1,0,1.0,5.0,8.0,5,0,76.1
S153,2026-07-21,Tuesday,14,50,3,0,0.0,4.0,5.0,3,1,52.0
S324,2026-07-21,Tuesday,14,84,2,0,0.0,6.0,9.0,6,3,76.7
S061,2026-07-22,Wednesday,10,65,1,0,1.0,7.0,8.0,6,1,76.5
S264,2026-07-22,Wednesday,11,131,4,0,1.0,9.0,8.0,6,0,95.5
S024,2026-07-23,Thursday,19,76,1,0,0.0,6.0,7.0,2,0,76.1
S319,2026-07-24,Friday,8,98,1,0,1.0,7.0,6.0,7,0,86.6
S081,2026-07-24,Friday,9,93,1,0,1.0,8.0,8.0,7,2,83.1
S348,2026-07-24,Friday,9,85,1,0,1.0,7.0,8.0,6,0,89.5
S286,2026-07-24,Friday,12,74,2,0,1.0,8.0,7.0,6,1,80.5
S382,2026-07-24,Friday,13,75,1,1,1.0,6.0,5.0,7,2,68.0
S181,2026-07-24,Friday,14,94,2,0,0.0,8.0,7.0,8,0,100.0
S383,2026-07-25,Saturday,9,98,3,0,0.0,7.0,6.0,5,2,76.2
S274,2026-07-26,Sunday,10,81,5,0,0.0,8.0,6.0,3,1,69.4
S293,2026-07-26,Sunday,15,74,1,0,0.0,7.0,4.0,6,0,77.7
S340,2026-07-26,Sunday,17,107,2,0,0.0,6.0,5.0,6,1,78.5
S195,2026-07-27,Monday,8,105,5,0,1.0,4.0,5.0,5,2,50.8
S200,2026-07-27,Monday,13,51,1,1,0.0,5.0,7.0,6,2,56.0
S337,2026-07-27,Monday,13,61,2,0,0.0,7.0,4.0,6,1,62.7
S355,2026-07-28,Tuesday,9,99,4,0,0.0,6.0,8.0,2,0,63.9
S064,2026-07-28,Tuesday,10,56,2,0,1.0,6.0,8.0,5,0,78.2
S325,2026-07-28,Tuesday,10,91,2,0,0.0,5.0,7.0,7,2,74.8
S046,2026-07-28,Tuesday,17,81,1,0,0.0,7.0,5.0,6,0,73.6
S208,2026-07-28,Tuesday,17,75,0,0,1.0,7.0,8.0,5,1,77.9
S141,2026-07-29,Wednesday,10,104,1,1,1.0,7.0,6.0,6,0,95.3
S012,2026-07-29,Wednesday,14,80,1,0,1.0,6.0,6.0,5,0,75.1
S347,2026-07-30,Thursday,12,62,2,0,1.0,5.0,8.0,4,3,55.5
S265,2026-07-30,Thursday,14,76,1,0,0.0,5.0,8.0,6,0,71.0
S356,2026-07-31,Friday,11,115,1,0,1.0,8.0,6.0,8,0,100.0
S145,2026-07-31,Friday,16,100,1,0,0.0,7.0,5.0,6,0,84.6
S161,2026-07-31,Friday,18,93,1,0,0.0,7.0,6.0,5,1,63.6
